,title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,precio_certificado
264,Introduction to Algebra,131197,Self-paced on your time,SchoolYourself,Introductory,Math,Inglés,Inglés,4–6 hours per week,4 Weeks,139
265,"LaTeX for Students, Engineers, and Scientists",11823,Self-paced on your time,IITBombay,Introductory,Engineering,Inglés,Inglés,3–4 hours per week,7 Weeks,139
266,Leading With Effective Communication (Inclusive Leadership Training),107770,Self-paced on your time,Catalyst,Introductory,Communication,Inglés,Inglés,1–2 hours per week,4 Weeks,50
267,Anatomy: Musculoskeletal and Integumentary Systems,51969,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,Inglés,Inglés,2–3 hours per week,4 Weeks,49
268,"Inglés empresarial: ventas, gestión y liderazgo",10897,Instructor-led on a course schedule,Universidades Anáhuac,Introductory,Business & Management,Inglés,"Inglés, Español",5–8 hours per week,4 Weeks,49
269,Business Strategy from Wharton: Competitive Advantage,26675,Self-paced on your time,The Wharton School of the University of Pennsylvania,Intermediate,Business & Management,Inglés,Inglés,3–4 hours per week,6 Weeks,199
270,Inteligencia emocional para el liderazgo efectivo y colaboración,14726,Self-paced on your time,Universidades Anáhuac,Introductory,Social Sciences,Español,Español,4–5 hours per week,4 Weeks,49
271,Introducción al desarrollo de aplicaciones web,27757,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Computer Science,Español,Español,4–5 hours per week,5 Weeks,49
272,"Six Sigma: Analyze, Improve, Control",56016,Self-paced on your time,Technische Universität München,Introductory,Business & Management,Inglés,Inglés,3–4 hours per week,8 Weeks,99
273,Introducción a la inteligencia emocional,18830,Self-paced on your time,Universidades Anáhuac,Introductory,Social Sciences,Español,Español,3–5 hours per week,4 Weeks,49
274,AP® Microeconomics,53664,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Economics & Finance,Inglés,Inglés,3–4 hours per week,12 Weeks,49
275,Engineering Calculus and Differential Equations,21535,Self-paced on your time,University of Hong Kong,Introductory,Math,Inglés,Inglés,3–6 hours per week,6 Weeks,50
276,Linear Algebra - Foundations to Frontiers,88570,Self-paced on your time,The University of Texas at Austin,Intermediate,Computer Science,Inglés,Inglés,6–10 hours per week,15 Weeks,49
